player,zeroes,ones,twos,threes,fours,sixes,Number of runs,Number of balls played,wickets_taken,Player_Type
Abbott,32,23,0,0,2,3,49,60,1,Bowler
Abdul Basith,23,24,2,0,5,6,84,60,0,Batsman
Abdul Samad,95,95,14,0,25,22,355,251,0,Batsman
Abhijeet Tomar,30,16,6,0,8,0,60,60,0,Batsman
Abhinav Manohar,69,75,6,0,21,10,231,181,0,Batsman
Abhishek Sharma,291,236,43,1,111,61,1135,743,4,Batsman
Abishek Porel,90,86,14,1,37,15,355,243,0,Batsman
Adil Rashid,27,20,6,0,2,5,70,60,2,Bowler
Akash Deep,30,25,1,0,2,2,47,60,8,Bowler
Akash Madhwal,22,23,8,0,1,6,79,60,15,Bowler
Akeal Hosein,23,30,2,0,1,4,62,60,1,Bowler
Alzarri Joseph,28,23,5,0,2,2,53,60,16,Bowler
Aman Hakim Khan,55,33,7,0,8,6,115,109,0,Batsman
Angkrish Raghuvanshi,38,44,2,1,16,8,163,109,0,Batsman
Anmolpreet Singh,46,33,5,0,17,2,123,103,0,Batsman
Anshul Kamboj,34,17,5,0,0,4,51,60,2,Bowler
Anuj Rawat,122,97,15,1,26,14,318,275,0,Batsman
Anukul Roy,20,18,7,0,11,4,100,60,5,All-rounder
Arjun Tendulkar,29,25,4,0,0,2,45,60,4,Bowler
Arshad Khan,26,25,8,0,6,6,101,71,6,Bowler
Arshdeep Singh,34,16,3,1,4,2,53,60,50,Bowler
Arshin Kulkarni,28,22,2,0,6,2,62,60,0,Batsman
Ashutosh Sharma,42,41,9,0,10,15,189,117,0,Batsman
Ashwin,96,118,17,0,24,16,344,271,36,Bowler
Atharva Taide,51,43,11,1,22,6,192,134,0,Batsman
Avesh Khan,21,29,4,1,1,4,68,60,49,Bowler
Axar,189,208,37,0,52,35,700,521,27,All-rounder
Ayush Badoni,177,200,48,3,46,24,633,498,2,Batsman
Azmatullah,24,24,4,0,2,6,76,60,4,Bowler
Bairstow,155,119,13,0,67,23,551,377,0,Batsman
Behrendorff,31,24,3,0,0,2,42,60,17,Bowler
Bhui,21,23,7,0,6,3,79,60,0,Batsman
Bhuvneshwar,55,35,7,0,10,0,89,107,43,Bowler
Billings,61,53,10,0,9,10,169,143,0,Batsman
Boult,25,24,6,0,5,2,68,62,47,Bowler
Brevis,83,54,6,0,17,16,230,176,1,Batsman
Bumrah,32,23,2,0,2,1,41,60,37,Bowler
Buttler,473,374,74,6,162,71,1614,1160,0,Batsman
Chahal,24,28,2,2,1,3,60,60,70,Bowler
Chahar,22,28,5,0,3,2,62,60,18,Bowler
Chakaravarthy,41,13,2,0,2,2,37,60,47,Bowler
Chameera,26,19,6,0,3,6,79,60,11,Bowler
Chawla,25,26,4,0,2,3,60,60,34,Bowler
Conway,237,264,34,4,100,30,924,669,0,Batsman
Coulter-Nile,28,23,5,0,0,4,57,60,0,Bowler
Cummins,48,36,10,1,14,14,199,123,26,Bowler
Daniel Sams,30,21,4,0,1,4,57,60,14,Bowler
Darshan Nalkande,27,27,1,0,0,5,59,60,6,Bowler
Daryl Mitchell,24,30,4,0,1,1,48,60,0,Bowler
Dhawan,335,272,43,1,114,28,985,793,0,Batsman
Dhoni,143,107,20,0,38,33,497,341,0,Batsman
Dhruv Jurel,73,101,17,0,29,16,347,236,0,Batsman
Dwayne Bravo,30,26,0,0,1,3,48,60,17,Bowler
Fabian Allen,24,27,7,0,1,1,51,60,1,Bowler
Fazalhaq Farooqi,25,26,5,0,0,4,60,60,6,Bowler
Ferguson,34,20,2,0,2,2,44,60,27,Bowler
Ferreira,26,15,6,0,8,5,89,60,0,Batsman
Finch,35,16,6,0,10,3,86,70,0,Batsman
Fraser-McGurk,60,25,3,1,32,28,330,149,0,Batsman
Gaikwad,401,450,81,3,137,62,1541,1134,0,Batsman
Gerald Coetzee,32,23,1,0,0,4,49,60,13,Bowler
Glenn Phillips,30,16,1,0,7,6,82,60,1,Batsman
Gowtham,25,19,6,0,4,6,83,60,8,All-rounder
Green,136,196,27,2,56,31,666,448,18,Bowler
Gulbadin,23,25,0,0,8,4,81,60,0,All-rounder
Gurbaz,119,54,11,1,24,19,289,228,0,Batsman
Hardik Pandya,271,336,57,1,92,38,1049,795,25,All-rounder
Harpreet Brar,54,45,6,0,14,6,149,125,20,Bowler
